類別,建築物名稱,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
一般住宅,私人住宅大樓,WYA00967,玉泉里,臺北市大同區環河北路一段79號,"25.052937,121.507469",B01,135,大同分局,
一般住宅,私人住宅大樓,WYA00968,玉泉里,臺北市大同區貴德街12號,"25.052803,121.507884",B01,737,大同分局,
一般住宅,私人住宅大樓,WYA00972,玉泉里,臺北市大同區西寧北路52號,"25.05224,121.508427",B01,136,大同分局,
一般住宅,私人住宅大樓,WYA00973,玉泉里,臺北市大同區西寧北路56號,"25.052523,121.508463",B01,448,大同分局,
一般住宅,私人住宅大樓,WYA00974,玉泉里,臺北市大同區貴德街6號,"25.052519,121.508018",B01,292,大同分局,
一般住宅,私人住宅大樓,WYA00975,玉泉里,臺北市大同區貴德街8號,"25.052696,121.508038",B01,292,大同分局,
一般住宅,私人住宅大樓,WYA00976,玉泉里,臺北市大同區貴德街14號,"25.052906,121.508033",B01,117,大同分局,
一般住宅,私人住宅大樓,WYA00978,玉泉里,臺北市大同區長安西路301-1號,"25.052318,121.507819",B01,342,大同分局,
一般住宅,私人住宅大樓,WYA00979,玉泉里,臺北市大同區長安西路303號,"25.052384,121.507637",B01,664,大同分局,
一般住宅,私人住宅大樓,WYA00980,玉泉里,臺北市大同區南京西路440號,"25.05328,121.508813",B01,153,大同分局,
一般住宅,私人住宅大樓,WYA00981,玉泉里,臺北市大同區環河北路一段87-91號,"25.053034,121.507668",B01,190,大同分局,
一般住宅,私人住宅大樓,WYA00982,玉泉里,臺北市大同區南京西路462號,"25.053588,121.507656",B01,777,大同分局,
一般住宅,私人住宅大樓,WYA00983,玉泉里,臺北市大同區西寧北路62-5號,"25.053014,121.508529",B01,416,大同分局,
一般住宅,私人住宅大樓,WYA00984,玉泉里,臺北市大同區西寧北路62號,"25.052638,121.508478",B01,444,大同分局,
一般住宅,私人住宅大樓,WYA00985,玉泉里,臺北市大同區貴德街20號,"25.05326,121.508087",B02,321,大同分局,
一般住宅,私人住宅大樓,WYA01341,玉泉里,臺北市大同區延平北路一段2號,"25.048679,121.51133",B01,140,大同分局,
一般住宅,私人住宅大樓,WYA01345,玉泉里,臺北市大同區延平北路一段38號,"25.050872,121.51186",B01,345,大同分局,
